NPA,median_age_of_residents_2022,high_speed_internet_access_2022,employment_2022,single_family_housing_2022_Raw,residential_occupancy_2022,home_ownership_2022,vacant_land_in_acres_2022,proximity_to_public_transportation_2022,street_connectivity_index_2022,proximity_to_school_age_care_2022,proximity_to_early_care_and_education_2022
442,36,94.6%,98.5%,746,94.3%,81.6%,88,719,1,445,721
443,42,77.5%,92.3%,557,93.8%,84.3%,32,0,1,198,198
444,37,83.8%,96%,828,100%,74.8%,60,0,1,449,449
445,44,82.4%,98.3%,1020,100%,89.4%,60,561,1,947,955
446,32,89.2%,92.3%,599,92.3%,94.2%,240,158,1,70,70
447,38,93.2%,94.1%,1554,94.9%,85.3%,205,0,1,452,0
448,36,88.7%,98.4%,465,93%,43.9%,227,1371,1,647,704
449,56,96.9%,90.7%,872,93.6%,98.1%,51,320,1,90,90
450,44,80.9%,96.7%,1441,97.8%,89.1%,1125,0,1,282,177
451,45,98%,97.2%,1925,100%,96%,994,141,1,0,0
452,52,86.4%,99.5%,1020,92.9%,89.1%,195,760,1,764,469
453,34,78.2%,100%,418,96.1%,59.8%,131,342,1,935,935
454,49,89%,98.7%,544,87.3%,88%,516,25,1,145,71
455,48,97%,95.6%,672,90.5%,89.6%,273,0,1,91,91
456,75,64.7%,97.3%,177,94.9%,36.4%,41,324,1,324,306
457,45,89.7%,100%,367,100%,100%,15,186,1,216,121
458,50,86.1%,95.2%,385,97.9%,85.6%,24,385,1,245,241
459,43,84.2%,99.6%,937,92.6%,89%,146,154,1,483,85
460,40,94.3%,93.6%,1055,96.5%,75.1%,177,789,1,1138,1457
462,44,72.7%,88%,1367,100%,80.3%,1034,66,1,143,143
463,43,84.5%,95.1%,394,84.8%,55%,33,2177,1,1843,2303
464,42,87.9%,95.4%,1193,100%,63.2%,106,982,1,1004,1350
465,32,95.7%,95.7%,247,93.4%,46.4%,70,2,--,223,223
466,35,77.7%,94.2%,975,95.4%,82.7%,848,88,1,496,496
467,38,95.3%,98%,669,100%,78%,90,123,1,263,263
468,20,100%,95.2%,76,100%,100%,143,63,1,0,7
469,41,93.4%,98.3%,573,100%,100%,856,508,2,0,0
470,53,84.7%,96.1%,511,82.9%,84.3%,23,533,1,0,0
471,36,86.5%,99.2%,628,89.2%,32.2%,98,1552,1,937,586
472,54,91.3%,100%,514,87.6%,76.5%,60,0,1,89,89
473,42,82.2%,98.8%,534,89.8%,61.8%,107,1117,1,409,796
474,47,82%,100%,632,90.1%,79.1%,37,746,1,557,557
475,50,93.9%,95.3%,811,85.7%,77.3%,109,824,1,305,198
476,31,81.9%,97.6%,190,82.1%,26.5%,29,13800,2,12426,13700
